,Zip,PCI Change
697,02842,-0.0259970289109816
21868,63110,0.0021267707265200716
13266,41018,-0.007095273759312547
29149,85250,-0.02702176347436584
31103,94610,-0.01254260159507292
23213,67114,0.04895847154040069
2980,11726,0.0006510416666666666
27793,80002,-0.004658739208340121
20131,59106,0.02038099609823273
15679,47933,0.000216076058772688
27165,78238,0.03915846943097849
2364,08110,-0.011549477963596046
5896,18938,0.04639456006865933
25000,72501,0.04821472543708446
29716,88030,-0.03232682060390764
32839,99216,0.018803117706636136
1979,07020,0.028993391682800775
23581,68107,-0.024216524216524215
670,02806,0.07122608079376329
22907,66204,-0.03520677260053079
10913,33611,0.06691328199708088
25218,73010,0.036456587328193096
31301,95336,-0.024135540341450733
28987,84660,-0.0063495314660248865
21867,63109,0.05183247743293675
14223,44112,0.025256730502359145
9893,30620,0.038536326674916035
2211,07834,0.010010266940451745
29776,88260,0.06445802859949787
20473,60088,0.03340020604023207
14362,44471,-0.0014406256431364478
2179,07734,0.016749960955801967
21877,63119,0.0331045312935336
18546,55330,-0.0022341229424713343
12071,37341,0.033823529411764704
5453,17566,-0.018149661009811767
29150,85251,0.04638501742160279
23751,68522,0.01879100281162137
26279,76031,-0.009597492899813926
5992,19114,0.001962743558632503
11073,34104,-0.027624947097072063
10426,32348,0.006516916250693289
26770,77345,0.019541080680977055
9077,28715,-0.04345006485084306
20526,60160,-0.022236123748862604
6269,20152,-0.00045927101164878293
30173,90807,-0.03427115294607104
13021,40065,0.029414171166748486
6393,20735,0.004365345869711216
11226,34761,0.009017097353423374
8876,28409,0.012700683124121433
30305,91773,0.017930714327163002
15397,47172,0.011598077826354013
26758,77320,-0.05178775925690291
30855,93614,-0.05151128139633887
28127,81007,0.009285880798818867
28882,84302,0.016517422168607618
27732,79763,0.04958991907012112
30307,91776,-0.0054456597626250875
29049,84770,0.020734719077999588
20591,60439,-0.011293788416370996
5869,18840,0.033300033300033303
10528,32615,-0.10380135270541083
15071,46231,-0.008993115318416523
21777,62966,0.0026996305768684286
20488,60108,-0.018056374874964733
15573,47586,0.00845337703786768
29493,87031,-0.059888927803072
12082,37355,-0.016522737483152798
32386,98223,-0.014535684761642326
25959,75165,-0.02255609756097561
27273,78559,0.0482257843540211
27645,79424,0.0015432098765432098
10755,33167,-0.0008956869229709247
20454,60060,-0.031021638374704997
16388,49331,0.014714678789328866
11863,36830,0.018835042563174476
27001,77904,-0.03733173795991624
31100,94607,0.0019506121601992115
24154,70117,0.045690376569037655
31008,94306,0.00011345770458855374
26015,75254,0.06698284623202241
8484,27526,0.010074095703909188
9505,29803,0.0195391220537983
26757,77318,0.09419083501270481
4362,15017,0.035522679239148106
