,Zip,Emp Const Extr Change
29843,89011,0.21096345514950166
2329,08070,0.0722466960352423
11970,37127,0.12656641604010024
15779,48083,-0.03913630229419703
282,01463,-0.02810304449648712
2230,07866,-0.1265625
8541,27617,-0.2411764705882353
14623,45219,0.07222222222222222
8407,27263,-0.04825174825174825
26062,75460,0.17715959004392387
2675,10512,0.05488761108207005
2070,07405,0.07301293900184842
5967,19073,-0.19557195571955718
474,02122,0.2643229166666667
9726,30276,-0.16512455516014235
9763,30329,0.3303017775940471
6838,22308,0.12234042553191489
24885,72223,-0.022116903633491312
28920,84403,0.06652719665271967
27832,80113,-0.1479933110367893
14326,44406,0.12152777777777778
28109,80921,0.26282051282051283
30969,94070,-0.11568123393316196
13582,42141,-0.14804623004953218
32590,98584,0.0807057057057057
22215,64082,-0.3053435114503817
24670,71753,0.21205821205821207
29524,87104,-0.18387096774193548
5419,17408,-0.0786908077994429
9256,29229,0.16229985443959244
2477,08721,-0.09125636672325976
16042,48623,-0.12971926427879962
26285,76040,0.06471816283924843
9748,30310,-0.15366795366795366
28980,84651,0.05275637225844695
20618,60467,-0.05325034578146611
28859,84103,-0.4391691394658754
30542,92505,-0.10381471389645777
493,02144,0.30434782608695654
23556,68046,0.03354838709677419
15082,46259,0.17027863777089783
10977,33812,-0.03317535545023697
26677,77025,0.1945945945945946
644,02726,0.04419889502762431
5986,19106,-0.10256410256410256
31770,96150,0.0068212824010914054
24480,71203,0.025967143614202437
24292,70582,0.03302325581395349
21905,63301,-0.01376
6621,21613,-0.093255620316403
32539,98499,-0.11380597014925373
13679,42445,0.07124352331606218
2527,08837,-0.17418546365914786
23742,68507,0.012704174228675136
30381,92083,-0.010432190760059613
1972,07011,-0.012872083668543845
6958,22802,-0.09242298084929226
14757,45502,-0.20602605863192183
16460,49512,0.16908212560386474
26311,76082,0.0548155737704918
22552,65233,-0.23633879781420766
9509,29812,-0.016474464579901153
17739,53142,-0.03302119270576639
23033,66720,-0.09192825112107623
525,02339,-0.1111111111111111
6749,21842,0.10638297872340426
2544,08872,0.24279835390946503
17574,52632,-0.10707269155206287
7428,24202,-0.12254901960784313
10656,32953,0.1875
20362,59840,-0.05198776758409786
12073,37343,-0.0532994923857868
10639,32908,-0.19975490196078433
28850,84092,-0.16471571906354515
17762,53185,-0.0476878612716763
4201,14617,-0.05915178571428571
12031,37221,0.13297297297297297
30047,90040,-0.01699346405228758
1940,06830,0.37316176470588236
13454,41701,-0.2522448979591837
16536,49707,0.1388888888888889
21250,61938,-0.019622641509433963
22356,64601,-0.07133243606998654
29330,85745,0.008739076154806492
32889,99508,-0.3069606571552097
30038,90031,-0.00846262341325811
26797,77380,0.047619047619047616
25959,75165,-0.04183813443072702
30065,90065,0.10373692077727951
18491,55105,-0.0042643923240938165
19183,56560,0.06731740154830024
14019,43611,0.12141652613827993
18443,55033,0.0007730962504831851
14236,44125,0.05519480519480519
10164,31605,0.1746031746031746
31997,97233,-0.07405329593267883
17724,53115,-0.14070729872084273
1879,06517,-0.19370860927152317
10676,33018,-0.030838419530999035
1889,06610,0.050576752440106475
2901,11423,-0.0020964360587002098
10898,33584,-0.13677313677313677
6142,19605,-0.15164279696714406
546,02446,0.10196078431372549
2883,11374,-0.14367816091954022
27341,78640,0.04008389652761594
26889,77520,-0.03199431212228937
29523,87102,-0.08810844115834873
27882,80233,-0.030847029077117574
26808,77407,-0.14891416752843847
6054,19363,0.20294117647058824
4072,14214,0.09362808842652796
4849,16001,-0.03821102909248806
29169,85295,0.05381727158948686
27183,78258,0.11975308641975309
25782,74804,0.12848689771766694
6069,19422,-0.09745762711864407
15905,48307,-0.11252653927813164
7216,23504,-0.04431818181818182
2274,08005,-0.10385756676557864
9693,30215,-0.10795454545454546
31080,94582,0.16649104320337196
1973,07012,-0.14440993788819875
3156,12118,0.039723661485319514
15868,48207,-0.11041009463722397
17776,53208,-0.12488350419384903
31878,97015,-0.2013977128335451
13881,43232,-0.2147495361781076
29741,88081,0.16643159379407615
15168,46550,-0.07882882882882883
11097,34205,-0.05691768826619965
6048,19348,0.05766150560597971
32996,99669,-0.013491635186184566
6376,20705,0.1257815373299007
10645,32927,0.22911694510739858
26268,76013,-0.29152542372881357
11184,34638,0.20496894409937888
24170,70301,-0.021587047771337197
387,01843,0.11904761904761904
1924,06790,0.02543786488740617
24776,72032,0.03415623943185661
3087,12010,0.12363067292644757
6821,22202,0.441340782122905
15924,48335,0.43217665615141954
29606,87532,-0.12680949623624782
21930,63366,-0.05494202098288239
30853,93611,-0.025868440502586843
11344,35160,0.13261163734776726
32373,98188,-0.16937669376693767
2593,10038,0.0625
43,00698,-0.03370194839389152
10484,32505,0.04529816513761468
28842,84081,-0.014534883720930232
15422,47265,-0.10589171974522293
10797,33324,-0.13210526315789473
11524,35773,0.19829059829059828
32206,97741,0.1677927927927928
