-586569600,NV,3
-583977600,B.C.,1
-583977600,CA,20
-581299200,CA,24
-578620800,B.C.,1
-578620800,CA,16
-578620800,NV,2
-576028800,CA,11
-576028800,Ca,1
-576028800,NV,2
-573350400,B.C.,1
-573350400,CA,20
-573350400,NV,5
-570758400,B.C.,2
-570758400,CA,23
-568080000,B.C.,1
-568080000,CA,17
-568080000,NV,1
-565401600,CA,31
-562896000,B.C.,3
-562896000,CA,16
-560217600,CA,18
-560217600,NV,2
-557625600,CA,13
-557625600,NV,7
-554947200,B.C.,1
-554947200,CA,9
-554947200,NV,3
-552355200,B.C.,2
-552355200,CA,236
-549676800,B.C.,1
-549676800,CA,58
-546998400,B.C.,1
-546998400,CA,30
-546998400,California,1
-544406400,CA,20
-541728000,B.C.,1
-541728000,CA,31
-541728000,Ca,1
-539136000,B.C.,1
-539136000,CA,35
-536457600,B.C.,1
-536457600,CA,42
-533779200,CA,60
-531360000,B.C.,1
-531360000,CA,45
-528681600,CA,33
-526089600,B.C.,1
-526089600,CA,74
-526089600,NV,1
-523411200,B.C.,5
-523411200,CA,59
-520819200,B.C.,1
-520819200,CA,46
-520819200,NV,1
-518140800,CA,34
-515462400,CA,27
-515462400,NV,1
-512870400,B.C.,2
-512870400,CA,27
-512870400,Mexico,1
-510192000,CA,41
-507600000,B.C.,1
-507600000,CA,39
-504921600,CA,67
-502243200,B.C.,6
-502243200,CA,33
-502243200,Son.,3
-499824000,CA,131
-499824000,NV,1
-497145600,B.C.,1
-497145600,CA,32
-497145600,Mexico,2
-494553600,CA,54
-494553600,Mexico,1
-491875200,B.C.,1
-491875200,CA,24
-491875200,Ca,1
-491875200,Mexico,1
-489283200,B.C.,1
-489283200,CA,32
-489283200,NV,2
-489283200,Nevada,2
-486604800,B.C.,1
-486604800,CA,29
-486604800,Nevada,1
-483926400,B.C.,1
-483926400,CA,26
-483926400,Nevada,1
-481334400,B.C.,21
-481334400,CA,23
-481334400,Mexico,1
-478656000,B.C.,35
-478656000,CA,14
-476064000,B.C.,5
-476064000,CA,24
-476064000,California,1
-476064000,Nevada,2
-473385600,B.C.,3
-473385600,CA,22
-470707200,B.C.,4
-470707200,CA,21
-468288000,CA,22
-465609600,B.C.,1
-465609600,CA,18
-465609600,Ca,2
-463017600,B.C.,1
-463017600,CA,20
-460339200,B.C.,1
-460339200,CA,29
-460339200,Mexico,1
-457747200,B.C.,1
-457747200,CA,24
-455068800,B.C.,1
-455068800,CA,20
-455068800,NV,1
-452390400,B.C.,1
-452390400,CA,21
-452390400,California,1
-449798400,CA,23
-447120000,B.C.,4
-447120000,CA,27
-444528000,B.C.,2
-444528000,CA,61
-441849600,B.C.,6
-441849600,CA,19
-439171200,B.C.,87
-439171200,CA,19
-439171200,Mexico,1
-439171200,NV,1
-436665600,B.C.,31
-436665600,CA,37
-433987200,B.C.,15
-433987200,CA,13
-433987200,NV,1
-431395200,B.C.,11
-431395200,CA,24
-431395200,Mexico,1
-428716800,B.C.,6
-428716800,CA,12
-426124800,B.C.,17
-426124800,CA,25
-423446400,B.C.,12
-423446400,CA,16
-420768000,B.C.,14
-420768000,CA,25
-418176000,B.C.,2
-418176000,CA,16
-415497600,B.C.,5
-415497600,CA,20
-412905600,B.C.,7
-412905600,CA,11
-410227200,B.C.,2
-410227200,CA,10
-407548800,B.C.,6
-407548800,CA,22
-405129600,B.C.,9
-405129600,CA,24
-405129600,Ca,1
-402451200,B.C.,9
-402451200,CA,42
-399859200,B.C.,4
-399859200,CA,13
-397180800,B.C.,2
-397180800,CA,17
-394588800,B.C.,5
-394588800,CA,15
-391910400,B.C.,4
-391910400,CA,19
-389232000,B.C.,3
-389232000,CA,10
-386640000,B.C.,7
-386640000,CA,19
-386640000,Ca,1
-383961600,B.C.,1
-383961600,CA,8
-381369600,B.C.,7
-381369600,CA,23
-378691200,CA,12
-376012800,B.C.,2
-376012800,CA,9
-373593600,B.C.,8
-373593600,CA,15
-370915200,B.C.,1
-370915200,CA,12
-370915200,Ca,2
-368323200,B.C.,4
-368323200,CA,10
-365644800,B.C.,3
-365644800,CA,15
-363052800,CA,28
-360374400,B.C.,3
-360374400,CA,21
-357696000,B.C.,1
-357696000,CA,6
-357696000,Ca,1
-355104000,B.C.,5
-355104000,CA,11
-352425600,B.C.,2
-352425600,CA,15
-349833600,B.C.,37
-349833600,CA,15
-347155200,B.C.,18
-347155200,CA,17
-347155200,NV,1
-344476800,B.C.,3
-344476800,CA,13
-342057600,B.C.,5
-342057600,CA,7
-342057600,Nevada,1
-339379200,B.C.,2
-339379200,CA,19
-336787200,B.C.,2
-336787200,CA,14
-334108800,B.C.,4
-334108800,CA,17
-334108800,Nevada,1
-331516800,B.C.,3
-331516800,CA,20
-328838400,B.C.,4
-328838400,CA,29
-328838400,Montana,1
-328838400,NV,1
-328838400,Wyoming,3
-326160000,B.C.,6
-326160000,CA,13
-323568000,B.C.,1
-323568000,CA,19
-323568000,NV,3
-320889600,CA,13
-318297600,B.C.,1
-318297600,CA,14
-318297600,Ca,1
-315619200,B.C.,5
-315619200,CA,13
-312940800,B.C.,2
-312940800,CA,11
-310435200,B.C.,1
-310435200,CA,13
-307756800,B.C.,4
-307756800,CA,7
-307756800,Ca,1
-305164800,B.C.,2
-305164800,CA,9
-302486400,B.C.,6
-302486400,CA,11
-302486400,Ca,1
-302486400,NV,1
-299894400,B.C.,3
-299894400,CA,6
-297216000,B.C.,5
-297216000,CA,13
-294537600,B.C.,3
-294537600,CA,7
-291945600,B.C.,1
-291945600,CA,19
-289267200,CA,14
-286675200,B.C.,3
-286675200,CA,13
-283996800,B.C.,4
-283996800,CA,22
-281318400,B.C.,1
-281318400,CA,19
-278899200,B.C.,2
-278899200,CA,16
-278899200,NV,2
-276220800,CA,12
-276220800,Ca,1
-273628800,B.C.,5
-273628800,CA,20
-270950400,B.C.,3
-270950400,CA,5
-270950400,Ca,1
-268358400,CA,17
-265680000,B.C.,3
-265680000,CA,22
-263001600,B.C.,8
-263001600,CA,37
-263001600,NV,1
-260409600,CA,50
-260409600,NV,5
-257731200,CA,25
-257731200,NV,1
-255139200,CA,10
-255139200,NV,4
-252460800,B.C.,2
-252460800,CA,10
-252460800,NV,3
-249782400,B.C.,2
-249782400,CA,17
-249782400,NV,7
-247363200,CA,22
-247363200,NV,7
-244684800,CA,18
-244684800,NV,5
-242092800,B.C.,1
-242092800,CA,16
-242092800,NV,6
-239414400,B.C.,2
-239414400,CA,10
-239414400,NV,6
-236822400,B.C.,1
-236822400,CA,12
-236822400,NV,6
-234144000,B.C.,3
-234144000,CA,22
-234144000,California,1
-234144000,NV,2
-234144000,Utah,1
-231465600,CA,16
-231465600,NV,5
-228873600,CA,31
-228873600,NV,4
-226195200,CA,26
-226195200,NV,3
-223603200,CA,33
-223603200,NV,4
-220924800,B.C.,5
-220924800,CA,17
-218246400,B.C.,2
-218246400,CA,11
-218246400,NV,3
-215827200,B.C.,2
-215827200,CA,20
-215827200,NV,5
-213148800,B.C.,4
-213148800,CA,11
-213148800,NV,6
-210556800,B.C.,4
-210556800,CA,35
-210556800,NV,5
-207878400,B.C.,7
-207878400,CA,12
-207878400,NV,4
-205286400,B.C.,2
-205286400,CA,30
-205286400,NV,3
-202608000,B.C.,2
-202608000,CA,24
-202608000,NV,3
